x1,x2,x3,x4,x5,x6,x7
0.840261404,-1.088159811,4.861744237,4.273054797,4.312457366,-0.137834164,0.076452878
1.320590878,-1.174112669,5.247360274,3.295027366,4.283410226,-0.363759264,-0.170605393
1.537909031,-1.175881624,5.556251194,3.394182763,3.971574492,-0.888398328,0.080616564
0.36355233,-1.130607617,4.329889548,5.5474876,4.539732055,0.342330484,0.2519534
1.56793772,-1.114718857,5.542104302,2.493070875,4.156157483,-0.609694175,-0.291366587
2.053153443,-0.998619639,6.209308562,1.413750352,3.806603728,-1.180406206,-0.342574436
0.857204229,-1.528327336,4.346046838,4.604815649,4.768301133,0.080011451,-0.094111862
0.97432642,-1.299433699,4.609922717,3.957701829,4.847828263,0.551386785,-0.397504325
1.304398902,-1.105422075,5.334994555,3.262553395,4.167344269,-0.520208207,-0.070383962
1.110546884,-1.207944005,5.025713935,3.398416042,4.258595585,-0.560853346,-0.063080748
2.485626229,-1.182087173,6.483631769,1.241431714,3.706422804,-1.551698959,-0.316155456
2.057577009,-0.880838874,6.350820713,1.687078042,3.691790761,-1.109849729,-0.243187578
0.63424864,-1.023471846,4.667337525,4.494963755,4.473880017,0.290440334,-0.030465007
2.168521414,-1.061441923,6.1960782,1.524931548,3.930324809,-0.952282917,-0.422651799
0.93138622,-1.422525326,4.606284266,4.617314193,4.511777133,-0.219482345,0.081907612
0.578221082,-1.24235864,4.420880933,4.483764083,4.53469626,-0.039275275,0.046840406
1.246535094,-1.082466521,5.328114662,3.769271882,4.075937717,-0.568027307,0.114456106
2.024414078,-1.407440535,5.632503353,2.373259246,4.369770454,-0.547215131,-0.458977956
0.870737163,-0.855064425,5.135569221,3.403263861,4.159501216,-0.216234129,-0.078496534
1.387188933,-1.306848419,5.101292615,3.232691897,4.527168686,-0.109832764,-0.353494412
1.43592607,-1.315028956,5.140727111,3.194469131,4.474968187,-0.218722965,-0.308367562
1.839758912,-1.208479594,5.827844249,2.547279326,3.893362584,-1.193302278,-0.047061286
1.525765915,-1.287820526,5.394280237,3.617284125,4.157933941,-0.692609374,0.05268189
0.730300677,-1.037032615,4.754887353,3.748576717,4.463400105,0.099619322,-0.202423572
0.537750317,-1.257619956,4.194325404,4.406184714,4.967074373,0.823164942,-0.412723184
0.492131762,-1.255296068,4.269788934,4.419938847,4.711094538,0.249441439,-0.109599746
1.426561552,-1.244760386,5.279070749,3.447568108,4.248694252,-0.499143862,-0.089294436
2.502567304,-0.937213994,6.857529367,1.227308962,3.306105963,-1.936695404,-0.035180038
0.11812054,-0.739380286,4.578540624,5.174669514,4.171884134,0.114202053,0.396025668
1.52569519,-1.061303789,5.638244007,2.593452957,3.972193539,-0.887278422,-0.11579708
1.292909253,-1.127837544,5.279638185,3.380087755,4.191401826,-0.47246932,-0.074019644
1.609958944,-1.20896119,5.531218054,2.884515686,4.112226667,-0.770488472,-0.127344795
1.003072863,-0.970205761,5.200741234,4.202068582,4.060089636,-0.392817884,0.22163911
1.126537555,-1.122755733,5.169575982,3.305347519,4.142822054,-0.657394598,-0.01703344
0.943761928,-1.366001429,4.608190735,4.074963041,4.621650554,0.00097849,-0.180546492
1.452246908,-1.195820212,5.33922505,2.889189191,4.281244721,-0.455843024,-0.279350231
1.615042001,-1.39725522,5.326215095,3.381440929,4.278844388,-0.640180795,-0.118956233
1.843674565,-1.323042222,5.652062999,2.6809526,4.09670864,-0.919736895,-0.219013913
1.873862434,-1.036475334,6.014882895,1.972572253,3.842528118,-1.098820045,-0.226478529
1.831353258,-1.131478785,5.782373534,2.038054898,4.091349031,-0.742454753,-0.397200962
0.764323996,-0.518770841,5.458814563,3.744120073,3.828873047,-0.262692956,0.204712076
0.900625451,-0.52723172,5.627100021,3.270141928,3.664531585,-0.643622436,0.191845382
1.145604605,-1.44981455,4.747514144,3.938308108,4.542411309,-0.260491302,-0.125031342
1.593840906,-1.026576272,5.683486984,2.545959804,4.038225842,-0.673005442,-0.208621006
1.737554988,-0.89076145,5.982140216,2.340929942,3.860473368,-0.779581176,-0.174119207
1.089993562,-1.197488939,4.956368191,3.836852889,4.431952259,-0.094969713,-0.123097374
1.395481127,-1.347435558,5.158177634,3.560450056,4.27903437,-0.60379743,-0.065621941
