x1,x2,x3,x4
0.832354186,1.389428371,0.962226228,0.993670815
1.256087347,1.500486873,0.904117784,0.738034805
0.976953334,1.058524281,1.217530403,1.357238047
1.014364557,1.122683781,1.195846583,0.984144323
1.041385929,1.219013752,0.86481946,1.720824501
1.387625165,0.746951532,0.659932915,0.887681806
1.823523514,0.980651372,1.223184896,0.6673143
0.649789951,0.940367632,1.439826847,0.783551083
0.797686787,1.151004055,0.498678795,0.902644287
0.670004656,1.0170368,1.386834963,0.715656472
1.135195206,1.013088202,0.658192454,1.004549587
0.891900909,0.783116398,1.95891971,0.583858352
1.257438969,1.367046303,0.818986429,1.124417764
0.643447408,1.801145034,1.367110113,1.562858747
1.009729516,0.942325805,0.876154467,0.914347567
1.428841108,0.513018243,0.664050514,0.958389608
0.596633087,0.759351647,0.911530932,0.509385927
0.769919662,0.812396369,0.747076485,0.892193886
1.221484464,1.698065808,1.580054622,0.830251289
0.990477855,1.504542517,1.227726627,0.667169035
1.911946969,1.248701712,0.966912378,1.66821696
1.089263595,1.526934233,1.167019138,1.362226615
1.175580371,0.867526545,1.452113527,0.945471953
0.649483409,1.529948201,0.562585754,0.609554238
0.862717258,0.907482287,1.125789947,1.050344048
0.903121608,0.735740182,0.955326232,1.496123867
1.014253109,1.146956087,0.629128752,1.631133859
1.362793569,0.536266192,1.591127295,0.790562382
0.657751123,0.891214825,1.461450806,0.728980919
0.777447532,1.464849971,1.57594996,0.232561752
0.516832382,0.918894855,0.758011574,1.354515546
1.017040683,1.26002631,0.987855715,1.608014296
1.053846799,1.331889249,0.5936312,1.754196367
1.48742684,1.41914703,0.988336142,0.99627908
1.257791639,1.073059478,3.165785519,1.363956859
1.115695302,0.788638246,0.914215359,1.787372224
0.928003277,0.863273307,0.810789809,0.9363844
0.698886911,0.840080314,1.197745514,1.20677746
1.094556575,0.85113745,0.891214125,0.572212882
1.232524577,0.577734995,1.282632341,1.010497406
0.813008844,1.147625615,0.834349973,0.781234309
2.037124615,1.625380428,2.956225934,1.222265225
0.52841115,0.908454253,0.367717183,1.00502997
0.836615067,0.82201393,1.810477239,1.064317625
1.032694966,0.654103541,0.918806805,0.634212516
1.029659963,1.52586736,0.845142772,0.982132049
0.510497194,0.664774563,2.332196615,0.576321513
1.134625463,1.762051648,1.944800669,0.657984002
0.615192856,1.108620646,0.572843271,1.313048565
1.0200778,0.673214879,1.160997896,0.935158035
1.031577565,1.501627254,1.375853518,0.8810026
1.030845344,0.870407459,0.961802984,0.989814889
1.135071735,1.428610003,1.263047974,0.546361971
0.150414346,0.863271608,0.897664634,0.878305075
0.072923787,2.476118418,1.492353386,1.140250139
0.225409276,0.798089853,0.946430357,0.990920697
0.160499318,1.542740535,1.088895328,0.678429869
0.222863673,1.030054697,0.458748085,1.797731447
0.243769507,0.69660576,2.785028443,0.999923418
0.196744723,1.290979623,1.011850077,0.632611626
0.153382503,1.09291923,1.197218189,0.774340321
0.180372977,1.200053248,0.787237728,0.966215181
0.155496465,0.79672857,1.275174385,0.493485839
0.157515228,0.922267509,0.66899684,0.792755709
0.108476764,1.093133794,0.61065437,0.78211927
0.119809988,1.544499903,0.786961596,1.197949568
0.145576342,1.529294273,1.389319534,1.447025377
0.159308456,1.412626391,0.974600955,1.26234265
0.12405595,1.233750261,0.580998006,1.495735722
0.096008685,0.874512308,1.664953765,0.699025794
0.168594124,1.606022789,0.703456651,0.57918699
0.120714722,0.611643531,0.847444018,1.105076604
0.178716372,1.218369073,1.513696822,0.898805542
0.1302808,1.427839787,0.974407619,0.500051097
0.128454405,1.115937653,0.977038336,1.264090593
0.111444033,0.473046667,0.657043171,2.251131478
0.110135751,1.065542197,1.53275133,0.810532296
0.104051501,1.775805511,0.843439566,1.428393783
0.078926454,1.021165407,0.831522558,0.984146404
0.272748651,0.39508425,0.985841509,1.255072191
0.131433244,1.706870028,1.686334199,1.826750786
0.151804089,0.967456458,1.407259792,0.94268295
0.214760271,0.858312505,2.38195487,2.013993619
0.124722885,1.765117157,0.404306781,0.700567255
0.114630551,0.859522985,1.195239038,2.475813528
0.160555524,0.806140743,1.06181044,0.899818223
0.373019746,1.161835178,0.901231278,1.228746378
0.069258082,0.71951,0.52118979,0.825556543
0.07707865,2.217093424,1.450062756,1.028989204
0.148456957,0.920386393,0.813597879,0.434394408
0.065922997,0.663544729,1.050435373,1.498833776
0.222635267,1.257414604,1.073457545,0.811952095
0.085044258,1.006683699,1.209308028,1.057654226
0.136453783,0.581145717,1.53597878,0.452134432
0.152535318,1.574297785,1.133756937,1.115894103
0.100987298,0.918611842,1.649289688,0.667837327
0.119907827,0.962582537,0.632678288,0.865748933
0.122746081,0.802458633,0.744928806,1.059187087
0.077335145,1.234838389,0.694377055,0.773580246
0.181304539,0.975848498,0.815488148,2.670994617
0.081013487,0.955151508,1.318817784,2.199319345
0.091776208,1.524825355,0.703149051,0.45320228
0.179456785,1.780256376,0.727605469,1.64243338
0.142363563,1.209780928,1.079540727,1.305447817
0.116590932,0.728452091,0.683785395,0.730674524
0.150531348,1.119549177,0.73593449,0.962293488
0.188453993,1.681033329,1.161235994,0.951895184
0.098814211,0.645667281,0.917674862,0.949737055
0.19935421,1.12533085,0.589544211,1.314626557
0.137047387,0.978593049,1.057993566,0.861128978
0.136838868,0.848036914,0.467879186,0.830796917
0.126868438,1.064181995,1.023159797,1.340430375
0.156588193,0.706685184,1.393846154,0.387548021
0.078797067,1.035006811,0.765499883,1.30343792
0.174438611,1.206270687,1.083528246,0.673936884
0.17891574,1.704716986,0.530915395,1.282583332
0.173524281,0.731748314,2.221003381,0.816592206
0.142534623,1.227188103,0.696111173,1.104082729
0.169510725,0.65925966,2.276074924,1.069338361
0.18226061,0.640978412,0.756842397,1.348876817
0.166353699,1.012523836,0.971606445,0.698717281
0.131584789,0.843138251,1.079714026,1.488532711
0.182385901,0.201396565,1.117054008,0.736911036
0.077209936,0.182381291,1.115516139,1.725875183
0.116603987,0.193419389,0.79877215,0.462738542
0.131560904,0.158073759,0.646475908,0.914035803
0.109818792,0.126929711,1.408788089,0.747800929
0.109037581,0.088586873,0.643125607,0.578994264
0.173609866,0.155446633,1.602346805,1.723047778
0.135038295,0.107487195,0.897935178,0.771740646
0.11821205,0.123994035,0.996589357,1.271708818
0.176868232,0.094025683,1.850147091,0.587722796
0.112467707,0.144629656,0.871268727,0.866999
0.127010731,0.135509935,0.81487157,0.762983402
0.069000861,0.071636084,0.535340195,1.251047267
0.184724272,0.128086263,1.346271987,0.65263608
0.205727812,0.200057997,0.406162409,1.25675985
0.322331943,0.222968927,0.673673418,1.712813816
0.147026539,0.19546821,0.731795637,0.850836224
0.131475523,0.090173915,1.302839686,0.655666866
0.154520784,0.184647147,1.228634595,0.659342745
0.089280784,0.108735823,1.074855625,1.673698445
0.144177307,0.076589744,0.810692024,0.643605654
